Date,Open,High,Low,Close,Adj Close,Volume
1987-02-01,521.640015,536.510010,496.529999,513.969971,513.837830,0
1987-03-01,500.329987,511.220001,447.029999,511.220001,511.088593,0
1987-04-01,505.369995,572.590027,505.369995,566.219971,566.074402,0
1987-05-01,566.219971,609.859985,551.969971,609.859985,609.703186,0
1987-06-01,614.080017,944.830017,614.080017,918.409973,918.173889,0
1987-07-01,963.559998,1335.540039,963.559998,1055.219971,1054.948730,0
1987-08-01,1195.849976,1258.489990,981.400024,1099.689941,1099.407227,0
1987-09-01,1015.159973,1047.189941,705.669983,753.140015,752.946411,0
1987-10-01,821.599976,909.770020,738.210022,755.039978,754.845886,0
1987-11-01,784.989990,789.710022,639.570007,708.330017,708.147949,0
1987-12-01,693.000000,816.210022,649.640015,816.210022,816.000183,0
1988-01-01,832.320007,878.780029,820.770020,827.359985,827.147278,0
1988-02-01,793.320007,841.700012,761.940002,761.940002,761.744141,0
1988-03-01,766.679993,796.289978,746.119995,753.919983,753.726196,0
1988-04-01,753.919983,797.669983,740.760010,797.669983,797.464905,0
1988-05-01,800.559998,825.460022,775.469971,803.929993,803.723328,0
1988-06-01,812.909973,883.200012,812.909973,844.210022,843.992981,0
1988-07-01,847.520020,873.700012,839.900024,865.510010,865.287537,0
1988-08-01,864.219971,872.619995,738.080017,780.099976,779.899414,0
1988-09-01,769.409973,769.409973,688.419983,696.900024,696.720886,0
1988-10-01,697.880005,743.210022,684.390015,723.599976,723.413940,0
1988-11-01,723.599976,737.900024,717.320007,729.349976,729.162476,0
1988-12-01,737.830017,839.000000,737.830017,839.000000,838.784302,0
1989-01-01,844.760010,862.369995,823.750000,837.109985,836.894775,0
1989-02-01,822.510010,863.520020,804.390015,863.520020,863.298035,0
1989-03-01,871.099976,930.210022,868.549988,907.530029,907.296753,0
1989-04-01,940.830017,1000.320007,920.190002,1000.320007,1000.062866,0
1989-05-01,1000.320007,1095.839966,991.969971,1040.449951,1040.182495,0
1989-06-01,1023.940002,1068.280029,1011.510010,1011.510010,1011.250000,0
